"The subtitle displayed in the referral popup","The subtitle displayed in the referral popup"
"Popup Message","Popup Message"
"The instructional message displayed in the referral popup","The instructional message displayed in the referral popup"
"Popup Button Text","Popup Button Text"
"The text displayed on the submit button in the referral popup","The text displayed on the submit button in the referral popup"
"Success Message","Success Message"
"The message displayed after successful email submission","The message displayed after successful email submission"
"Discount Amount","Discount Amount"
"The discount amount displayed in the popup (e.g., ""50% off"")","The discount amount displayed in the popup (e.g., ""50% off"")"
"Sync the data on every extension update to ensure the Leat backend gets updated with the latest attributes.","Sync the data on every extension update to ensure the Leat backend gets updated with the latest attributes.",
Yes,Yes
No,No
"Could not save the applied gift card: %1","Could not save the applied gift card: %1"
"Applied gift card with id ""%1"" does not exist.","Applied gift card with id ""%1"" does not exist."
"Could not delete the applied gift card: %1","Could not delete the applied gift card: %1"
"Missing gift card code.","Missing gift card code."
"GiftCard is invalid or expired.","GiftCard is invalid or expired."
"There is no available balance on the gift card.","There is no available balance on the gift card."
"An unexpected error occurred while applying the gift card.","An unexpected error occurred while applying the gift card."
"Applied gift card with ID ""%1"" does not belong to quote ID ""%2"".","Applied gift card with ID ""%1"" does not belong to quote ID ""%2""."
"Gift card removed successfully.","Gift card removed successfully."
"An unexpected error occurred while removing the gift card.","An unexpected error occurred while removing the gift card."
"Gift card %1 is no longer valid.","Gift card %1 is no longer valid."
"Insufficient balance on gift card %1.","Insufficient balance on gift card %1."
"<b>Enabling order export makes customers eligible to earn points.</b></br> If this option is disabled, customers will not earn points for their purchases.</br>Customers will still be added to Leat upon their first purchase.</br></br>","<b>Enabling order export makes customers eligible to earn points.</b></br> If this option is disabled, customers will not earn points for their purchases.</br>Customers will still be added to Leat upon their first purchase.</br></br>"
"Leat Giftcard","Leat Giftcard"
"Enable Leat Giftcards","Enable Leat Giftcards"
"Allow purchase and redemption of Leat Giftcards.","Allow purchase and redemption of Leat Giftcards."
"Giftcard Program","Giftcard Program"
"Select the configured Gift Card Program in Piggy","Select the configured Gift Card Program in Piggy"
"Enable Giftcard Balance Check","Enable Giftcard Balance Check"
"Allow customers to check their gift card balance on the frontend","Allow customers to check their gift card balance on the frontend"
"Max Balance Checks Per Session","Max Balance Checks Per Session"
"Maximum number of gift card balance checks allowed per session per day","Maximum number of gift card balance checks allowed per session per day"
"Giftcard Form","Giftcard Form"
"Show 'Send as gift' Form","Show 'Send as gift' Form"
"Show form on giftcard product page","Show form on giftcard product page"
"Show Recipient Email","Show Recipient Email"
"Show Recipient Firstname","Show Recipient Firstname"
"Show Recipient Lastname","Show Recipient Lastname"
"Show Sender Message","Show Sender Message"
